,ID,Comment
133,              Lorrie Lanham            ,Ok THIS was the BEST video since the come back! I ♥️♥️♥️ the sounds and the food looked so delicious 😋 Thank you Boki!
134,              Randa Mcgahee            ,The smile u give when u love the food says a lot💯💯u are actually confident and proud of your craft🥰🥰
135,              T M            ,字幕がいつも面白い🤣バンジー！
136,              Roberto Avila            ,that food looks sooooo good its making me hungry
137,              Solar Moon            ,Now I'm hungry again
138,              jaeahyun            ,boki you always have a very big bites but never get chocked.. how? 😭😭
139,              Maureen Grace Rabino            ,You look like Kang Sol the short haired in LAW SCHOOL 😅😅😅
140,              ほのちゃ            ,いつも美味しそうに食べているのを見て凄く食欲をそそられます！天丼は天つゆで食べないのが驚きでした
141,              Asim Aslam            ,This is also a funny mukbang
142,              Park Jirose            ,"I love you very much, I wish I had a chance to see you in Azerbaijan 🥺"
143,              Jera Mei Legaspi            ,please do a Jollibee mukbang!!😽
144,              Akshu Rane            ,I already had my lunch but I'm hungry again🥺
145,              bea비비빅            ,와 튀김소리...미쳤다
146,              nvrk11            ,"I HATE asmr. Like people chewing loudly is a TRIGGER and it gives me chills and it makes me uneasy..BUT I CAN WATCH THIS GIRL EAT FOR HOURS!!! SOMEONE EXPLAIN THIS TO ME!!! I am obsessed, I love her!!!"
147,              Lavanya Dissanayake            ,I absolutely love how you finish your food.. it’s super satisfying ♥️
148,              5:14            ,yesss thank you boki!
149,              Erine Sahureka            ,Yuhuu~ i'm not late :)
150,              anujin saintuya            ,People never hate boki💓
151,              Epik Mooshroom Froggy            ,Omg I'm so early!! Btw I'm a big fan:)
152,              اولَيفيا 𖤍.            ,وضع الصايمين 🤡🤡 😂😭
153,              Jenny Garcia            ,Love the foods in your table. Its so satisfying to hear the crispyness.
154,              mew mew            ,Hey ma'am international fan here💚💚💚💚
155,              체리쥬글래            ,와 텐동... 안 들어올 수 없는 비주얼
156,              Yessub ASMR            ,Please let me know how many people love Boki !!👇🏻💜
157,              Innellson Jimmy            ,I love you bite❤️
158,              Madison G            ,Boki is my favorite mukbanger （＾ω＾）
159,              it's Itsna            ,"the temptation of the fasting month, but it's okay if I'm full just watching you eat hehe"
160,              Lê Bảo Ngọc Trương            ,I love you Boki. Love you 3000 <333
161,              Resmaye Yusifova            ,Wery beautiful
162,              ᄒᄋᄅ            ,6:32 아개귀여웤ㅋㅋㅋㅋㅋㅋㅋ❤🍓
